ID,Category,Price,Size,State,Brand,Colors,Amount_Of_Pictures,Ratio
837083537,Sweater,4.0,S / 36 / 8,Very good,Bershka,Black,5,12.8
836765594,Jacket,5.0,M / 38 / 10,Very good,Vintage,Black,4,13.333333333333334
836749535,Cardigan,6.0,M / 38 / 10,New without tags,AliExpress,Pink,5,4.555555555555555
836738170,Jacket,4.0,S / 36 / 8,Very good,Vintage,Pink,4,inf
659347007,Sweater,5.0,M / 38 / 10,Very good,Vintage,Grey,3,inf
659284306,Sweater,5.0,M / 38 / 10,Very good,& Other Stories,White,3,11.733333333333333
659267561,Sweater,3.0,M / 38 / 10,Good,Vintage,Multi,1,25.666666666666668
659254315,Top,4.0,S / 36 / 8,Very good,Bershka,White,3,7.0
659241693,Sweater,5.0,M / 38 / 10,Very good,Monki,White,4,12.8
609964067,Jewellery,1.0,,Very good,Claire's,Black,1,27.0
609961393,Jewellery,3.0,,Very good,Vintage,White,1,7.0
609958522,Jewellery,2.0,,Very good,Bershka,Silver,1,6.9
609952151,Jewellery,8.0,,Very good,Vintage,Green,2,5.5
609946349,Jewellery,3.0,16.5 mm ,Good,Vintage,White,1,20.0
609943347,Jewellery,3.0,16.5 mm ,Very good,Vintage,Silver,1,10.0
609937457,Jewellery,3.0,19.8 mm ,Good,Vintage,White,1,10.0
609934749,Jewellery,5.0,,Very good,Vintage,Purple,1,inf
609930959,Jewellery,3.0,,Very good,Vintage,White,1,inf
609929181,Jewellery,2.0,,Very good,Vintage,Brown,2,inf
609926943,Jewellery,4.0,,Very good,Vintage,Gold,1,inf
609924364,Jewellery,2.0,,Very good,UNKNOWN,Multi,3,10.0
609912082,Jewellery,7.0,,Very good,& Other Stories,Gold,2,7.666666666666667
609909191,Jewellery,5.0,,Very good,& Other Stories,Gold,1,11.0
600667965,Top,5.0,S / 36 / 8,Very good,UNKNOWN,Black,3,30.5
600647302,Coat,5.0,S / 36 / 8,Very good,Vintage,Black,5,17.333333333333332
600609212,Top,3.0,S / 36 / 8,Very good,Pull & Bear,Blue,3,12.333333333333334
600584473,Top,4.0,S / 36 / 8,Good,Brooklyn,Grey,3,11.2
600549253,Sweater,4.0,S / 36 / 8,Very good,H&M,Burgundy,4,9.0
600519621,Sweater,15.0,L / 40 / 12,Good,UNKNOWN,Burgundy,4,8.5
600507879,Dress,5.0,S / 36 / 8,Very good,Vintage,Black,3,inf
600491609,Dress,5.0,S / 36 / 8,Very good,Vintage,Mint,4,15.75
594013991,Hat,3.0,,Very good,Bershka,Black,4,19.5
457013796,Top,2.0,S / 36 / 8,Very good,H&M,White,3,12.0
446539880,Sweater,8.0,S / 36 / 8,Very good,& Other Stories,White,5,15.666666666666666
446535314,Sweater,3.0,S / 36 / 8,Very good,Bershka,Red,5,12.0
446527507,Pants,5.0,S / 36 / 8,Very good,Vintage,White,6,9.333333333333334
446525069,Suit,4.0,S / 36 / 8,Very good,Bershka,Blue,5,18.0
446523382,Jacket,4.0,M / 38 / 10,Very good,Bershka,Brown,3,12.0
444716968,Homeware,10.0,,New with tags,,,4,5.428571428571429
444704875,Sweater,4.0,S / 36 / 8,Very good,H&M,Blue,5,13.0
438922208,Shorts,1.0,M / 38 / 10,Very good,Bershka,Blue,5,12.666666666666666
438916685,Shorts,2.0,M / 38 / 10,Very good,Bershka,Silver,3,7.0
438899773,Sweater,4.0,M / 38 / 10,Very good,Mango,Blue,4,15.2
438895051,Dress,5.0,M / 38 / 10,Very good,Vintage,White,4,15.25
438862271,Jewellery,2.0,Adjustable,New without tags,Vintage,Blue,5,14.666666666666666
431324160,Jewellery,8.0,,Very good,& Other Stories,White,3,5.076923076923077
431318549,Homeware,25.0,,New without tags,,,9,inf
431302702,Sweater,10.0,M / 38 / 10,Very good,& Other Stories,Red,4,13.363636363636363
431294984,Dress,7.0,S / 36 / 8,Very good,Vintage,Navy,5,14.0
431290543,Dress,4.0,S / 36 / 8,Very good,Vintage,White,3,12.666666666666666
431288125,Homeware,5.0,,New without tags,,,6,32.5
429168055,Skirt,10.0,S / 36 / 8,Very good,& Other Stories,Black,6,14.7
429161893,Jacket,2.0,XS / 34 / 6,Very good,H&M,Light blue,3,33.0
429152043,Dress,5.0,S / 36 / 8,Very good,Bershka,White,3,3.25
429147360,Dress,8.0,XS / 34 / 6,Very good,Vintage,Black,4,inf
429140773,Dress,10.0,XS / 34 / 6,Very good,Vive Maria,Red,5,43.5
429126910,Suit,4.0,S / 36 / 8,Very good,Bershka,Black,4,27.0
429107978,Top,2.0,XS / 34 / 6,Very good,Vintage,White,3,inf
429101901,Suit,12.0,XS / 34 / 6,Very good,Vintage,Black,5,22.0
429065172,Top,2.0,M / 38 / 10,Very good,Bershka,Burgundy,4,10.5
429060507,Sweater,45.0,S / 36 / 8,Very good,HUF,Rose,6,21.333333333333332
429053697,Pants,25.0,S / 36 / 8,Very good,Vintage,Blue,4,33.5
429027755,Mens Sweater,18.0,S,Very good,Vintage,Grey,4,inf
429014823,Suit,8.0,XS / 34 / 6,Very good,& Other Stories,Navy,3,14.2
429002597,Top,2.0,S / 36 / 8,Very good,Bershka,White,4,18.0
485196793,Sweater,4.0,XS / 34 / 6,Very good,Monki,White,3,7.875
428973511,Sweater,3.0,M / 38 / 10,Very good,Primark,Blue,7,11.571428571428571
428824209,Skirt,7.0,S / 36 / 8,Very good,& Other Stories,Dark green,5,17.75
838146953,Top,10.0,XXS / 32 / 4,Very good,FB Sister,Green,3,164.0
838138127,Top,40.0,M / 38 / 10,Very good,Dsquared2,Blue,4,7.066666666666666
838131314,Pants,15.0,S / 36 / 8,Very good,Rebellion Only Play,Black,3,inf
838115441,Top,10.0,S / 36 / 8,Very good,Pigalle,Black,3,23.0
837728588,Dress,35.0,XS / 34 / 6,Very good,Cubus,Grey,3,inf
819935924,Top,7.0,S / 36 / 8,Very good,Zara,Black,2,16.303571428571427
819903898,Mens Sweater,25.0,S,Very good,Timberland,Grey,3,14.0
818757479,Jewellery,80.0,18.5 mm ,Very good,Swarovski,Silver,3,28.128205128205128
846771711,Jacket,285.0,M / 38 / 10,Good,Max Mara,Brown,14,55.6
846750261,Coat,115.0,M / 38 / 10,New without tags,Vintage,Red,15,9.875
846733838,Jacket,95.0,M / 38 / 10,Very good,Max Mara,Khaki,12,12.11111111111111
845404753,Jacket,45.0,M / 38 / 10,Very good,Max Mara,Beige,7,28.0
821075721,Jacket,55.0,S / 36 / 8,Very good,Vintage,Black,9,16.0
846761256,Coat,79.0,M / 38 / 10,Very good,Max Mara,Brown,9,10.46875
846726411,Jacket,85.0,S / 36 / 8,Very good,Céline,Green,8,25.833333333333332
842819765,Pants,39.0,S / 36 / 8,Good,Max Mara,Grey,7,19.705882352941178
820241279,Coat,55.0,S / 36 / 8,Very good,Vintage,Black,5,96.2
852185262,Coat,115.0,L / 40 / 12,Very good,Max Mara,Brown,8,154.33333333333334
842850671,Jacket,60.0,S / 36 / 8,Very good,Vintage,Brown,5,16.533333333333335
823901065,Jacket,470.0,XS / 34 / 6,Very good,Max Mara,Black,11,18.45945945945946
848827787,Jacket,95.0,L / 40 / 12,Very good,Max Mara,Purple,9,37.5
832045118,Suit,45.0,S / 36 / 8,Very good,Vintage,Grey,7,10.322222222222223
812862798,Jacket,295.0,S / 36 / 8,Good,Max Mara,Brown,7,24.04
827649219,Blouse,45.0,M / 38 / 10,Very good,Max Mara,Cream,6,11.71875
832707919,Jacket,380.0,M / 38 / 10,Very good,Max Mara,Brown,11,19.23076923076923
832643078,Pants,35.0,XS / 34 / 6,Very good,Max Mara,Grey,7,10.666666666666666
832614961,Pants,55.0,S / 36 / 8,Very good,Max Mara,Rose,5,12.38888888888889
832612497,Pants,55.0,XS / 34 / 6,Very good,Max Mara,Rose,6,15.5
832610195,Coat,135.0,S / 36 / 8,Very good,Max Mara,Yellow,9,2.5
820192011,Pants,35.0,XS / 34 / 6,Very good,Vintage,Black,8,21.636363636363637
817511015,Jacket,131.0,S / 36 / 8,Good,Dior,Grey,13,15.9
812824073,Jacket,55.0,S / 36 / 8,Very good,Max Mara,Beige,4,10.4
803997982,Cardigan,95.0,One size,Very good,Givenchy,Yellow,5,32.125
803984302,Blouse,45.0,One size,Good,Max Mara,Yellow,7,5.777777777777778
804934238,Sweater,29.0,XS / 34 / 6,Very good,Vintage,White,4,4.60655737704918
780751219,Top,29.0,S / 36 / 8,Very good,Vintage,Turquoise,3,12.857142857142858
777125243,Pants,85.0,XS / 34 / 6,Very good,Max Mara,Beige,6,6.63855421686747
